POLISSA_RAMAL;DVER_POLISSA_RAMAL;SIT_RAMAL;TIP_OPER_RAMAL;US_RAMAL;MATERIAL_RAMAL;DATA_INST_RAMAL;DIAMETRE_RAMAL;SIT_CLAU_PAS;DATA_SIG_CTE_RAMAL;TIP_SUBM_CTE_RAMAL;NOMB_JOC_CLAUS_CTE;DATA_PART_INST_RAM;NUM_PART_INST_RAM;QL_ARQUETA_ARMARI;ESTAT_ARQUETA_ARM;ID_CIR_RECUP_AIGUA;NUM_SOL_LIC_AFEC;DATA_SOL_BAIXA_RAM;DNI_NIF_CLIENT;NUM_MUN_SGAB;NUM_CARRER;NUM_INI_FINCA;COMP_NUM_INI_FINCA;NUM_FIN_FINCA;COMP_NUM_FIN_FINCA;SIT_FINCA_ESPEC;ORD_FINCA_ESPEC;NUM_ORD_RAMAL;POLISSA_RAMAL_AFEC;DNI_NIF_CLIENT_ORI;OBS_PRESA_RAMAL;RAMAL_CO;QL_TIPUS_DADES_C;QL_ANOT;SECCIO_CENSAL
R000000001;01;A;N;1;P;2020-03-15;25;OK;2020-03-20;G;2;2020-03-15;10001;A;B;N;;2099-12-31;00000001A;00;1001;0020;;0024;;N;0;1;;;NORMAL;1001;RE;N;080190001
R000000002;01;A;N;1;P;2021-05-10;20;OK;2021-05-12;G;1;2021-05-10;10002;A;B;N;;2099-12-31;00000002B;00;1001;0040;;0046;;N;0;1;;;NORMAL;1002;RE;N;080190002
R000000003;01;A;N;1;P;2022-01-08;25;OK;2022-01-10;G;2;2022-01-08;10003;A;B;N;;2099-12-31;00000003C;00;1002;0015;;0015;;N;0;1;;;NORMAL;1003;RE;N;080190003
R000000004;01;A;N;4;F;2020-07-01;63;OK;2020-07-05;I;3;2020-07-01;10004;A;B;S;;2099-12-31;00000004D;00;1003;0100;;0120;;N;0;1;;;INDUSTRIAL;1004;RE;N;080190004
R000000005;01;A;N;2;P;2021-02-14;32;OK;2021-02-15;C;2;2021-02-14;10005;A;B;N;;2099-12-31;00000005E;00;1004;0001;;0005;;N;0;1;;;PUBLIC;1005;RE;N;080190005
R000000006;01;A;N;1;P;2023-04-01;25;OK;2023-04-04;G;2;2023-04-01;10006;A;B;N;;2099-12-31;00000006F;00;1005;0060;;0070;;N;0;1;;;NORMAL;1006;RE;N;080190006
R000000007;01;A;N;1;P;2020-06-20;25;OK;2020-06-21;G;2;2020-06-20;10007;A;B;N;;2099-12-31;00000007G;10;2001;0010;;0014;;N;0;1;;;NORMAL;1007;RE;N;080190007
R000000008;01;A;N;1;P;2022-02-01;20;OK;2022-02-02;G;1;2022-02-01;10008;A;B;N;;2099-12-31;00000008H;10;2002;0025;;0025;;N;0;1;;;NORMAL;1008;RE;N;080190008
R000000009;01;A;N;1;P;2021-09-12;25;OK;2021-09-15;G;2;2021-09-12;10009;A;B;N;;2099-12-31;00000009J;10;2003;0050;;0060;;N;0;1;;;NORMAL;1009;RE;N;080190009
R000000010;01;A;N;4;F;2020-03-03;80;OK;2020-03-04;I;3;2020-03-03;10010;A;B;S;;2099-12-31;00000010K;10;2001;0200;;0220;;N;0;1;;;INDUSTRIAL;1010;RE;N;080190010
R000000011;01;A;N;1;P;2022-04-05;25;OK;2022-04-08;G;2;2022-04-05;10011;A;B;N;;2099-12-31;00000011L;11;3001;0005;;0009;;N;0;1;;;NORMAL;1011;RE;N;080190011
R000000012;01;A;N;1;P;2022-06-18;25;OK;2022-06-20;G;2;2022-06-18;10012;A;B;N;;2099-12-31;00000012M;11;3002;0010;;0018;;N;0;1;;;NORMAL;1012;RE;N;080190012
R000000013;01;A;N;4;F;2021-01-15;75;OK;2021-01-18;I;3;2021-01-15;10013;A;B;S;;2099-12-31;00000013N;11;3001;0100;;0120;;N;0;1;;;INDUSTRIAL;1013;RE;N;080190013
R000000014;01;A;N;1;P;2021-08-10;25;OK;2021-08-11;G;2;2021-08-10;10014;A;B;N;;2099-12-31;00000014P;20;4001;0030;;0034;;N;0;1;;;NORMAL;1014;RE;N;080190014
R000000015;01;A;N;1;P;2020-11-03;25;OK;2020-11-05;G;2;2020-11-03;10015;A;B;N;;2099-12-31;00000015Q;20;4002;0050;;0060;;N;0;1;;;NORMAL;1015;RE;N;080190015
R000000016;01;A;N;4;F;2020-05-10;90;OK;2020-05-15;I;4;2020-05-10;10016;A;B;S;;2099-12-31;00000016R;20;4001;0200;;0240;;N;0;1;;;INDUSTRIAL;1016;RE;N;080190016
R000000017;01;A;N;4;F;2022-03-01;63;OK;2022-03-02;I;2;2022-03-01;10017;A;B;S;;2099-12-31;00000017S;00;1003;0100;;0120;;N;0;2;R000000004;;AMPLIACION;1017;RE;N;080190004
R000000018;01;A;N;2;P;2023-01-10;32;OK;2023-01-11;C;2;2023-01-10;10018;A;B;N;;2099-12-31;00000018T;00;1004;0001;;0005;;N;0;2;R000000005;;CI_PUBLICO;1018;RE;N;080190005
R000000019;01;B;N;2;P;2019-04-05;32;OK;2019-04-07;C;1;2019-04-05;10019;A;R;N;;2024-03-31;00000019V;00;1004;0001;;0005;;N;0;3;R000000005;;BAJA_RAMAL;1019;RE;N;080190005
R000000020;01;B;N;4;F;2018-09-01;63;OK;2018-09-05;I;2;2018-09-01;10020;A;R;S;;2023-12-31;00000020W;20;4001;0200;;0240;;N;0;2;R000000016;;BAJA_INDUSTRIAL;1020;RE;N;080190016
