POLISSA_SUBM;DVER_POLISSA_SUBM;TIP_SUBM_SERV;SIT_SUBM_SERV;DATA_CTE_SUBM_SERV;DATA_ALT_SUBM_SERV;DATA_RES_SUBM_SERV;IMP_FIANSA;SIT_FIANSA;DATA_ULTIMA_FACT;QL_IDIOMA;ID_PAGA_IVA;US_AIGUA_SUBM;NOMB_HABIT_SUBM;TIP_HABIT_SUBM;TIP_TAXA_TRR;POLISSA_RAMAL;PIS_PORTA_DESTI;DNI_NIF_CLIENT;NUM_ENTITAT_COBRA;NUM_AGENCIA_APART;NUM_COMPTE_DEPEND;NOM_TITULAR_COMPTE;ID_QUOTA_SOCIAL;ID_TARIFA_SOCIAL;IND_SERVEI_SOCIAL;IND_POB_ENERG;NOM_COMERCIAL;TIP_FACT_ENV;CODI_PAIS;NUM_COMPTE_IBAN;IND_OKUPA
S000000001;1;D;A;2021-02-02;2021-02-02;2099-12-31;60;D;2026-07-01;C;S;1;1;A;D;R000000001;1A;00000001A;2100;1;1;CLIENTE 001;N;N;N;N;;FP;ES;ES76000000000000000000000000000001;N
S000000002;1;D;A;2022-03-03;2022-03-03;2099-12-31;60;D;2026-07-01;C;S;1;6;A;D;R000000001;1B;00000002A;2100;1;2;CLIENTE 002;N;N;N;N;;FP;ES;ES76000000000000000000000000000002;N
S000000003;1;D;A;2023-04-04;2023-04-04;2099-12-31;60;D;2026-07-01;C;S;1;4;A;D;R000000001;2A;00000003A;2100;1;3;CLIENTE 003;N;N;N;N;;FP;ES;ES76000000000000000000000000000003;N
S000000004;1;D;A;2024-05-05;2024-05-05;2099-12-31;60;D;2026-07-01;C;S;1;6;A;D;R000000001;2B;00000004A;2100;1;4;CLIENTE 004;N;N;N;N;;FP;ES;ES76000000000000000000000000000004;N
S000000005;1;D;A;2025-06-06;2025-06-06;2099-12-31;60;D;2026-07-01;C;S;1;5;A;D;R000000001;3A;00000005A;2100;1;5;CLIENTE 005;N;N;N;N;;FP;ES;ES76000000000000000000000000000005;N
S000000006;1;D;A;2020-07-07;2020-07-07;2099-12-31;60;D;2026-07-01;C;S;1;4;A;D;R000000001;3B;00000006A;2100;1;6;CLIENTE 006;N;N;N;N;;FP;ES;ES76000000000000000000000000000006;N
S000000007;1;D;A;2021-08-08;2021-08-08;2099-12-31;60;D;2026-07-01;C;S;1;2;A;D;R000000001;4A;00000007A;2100;1;7;CLIENTE 007;N;N;N;N;;FP;ES;ES76000000000000000000000000000007;N
S000000008;1;D;A;2022-09-09;2022-09-09;2099-12-31;60;D;2026-07-01;C;S;1;4;A;D;R000000001;4B;00000008A;2100;1;8;CLIENTE 008;N;N;N;N;;FP;ES;ES76000000000000000000000000000008;N
S000000009;1;D;A;2023-10-10;2023-10-10;2099-12-31;60;D;2026-07-01;C;S;1;1;A;D;R000000002;1A;00000009A;2100;1;9;CLIENTE 009;N;N;N;N;;FP;ES;ES76000000000000000000000000000009;N
S000000010;1;D;A;2024-11-11;2024-11-11;2099-12-31;60;D;2026-07-01;C;S;1;6;A;D;R000000002;1B;00000010A;2100;1;10;CLIENTE 010;N;N;N;N;;FP;ES;ES76000000000000000000000000000010;N
