ID_EMPRESA;ANY_FACTURA;NUM_FACTURA;QL_EMPLEAT_SGAB;FREQ_FACT;M3_BLOC1;M3_BLOC2;M3_BLOC3;M3_BLOC4;M3_BLOC5;IMP_TOTAL_FACT;IMP_AIGUA_IVA;ID_RECUPERACIO;ID_REGULARITZACIO;DATA_CARREC_RECAP;IDEN_LOT_LECT_FACT;NUM_PARTICIO;POLISSA_SUBM;DATA_FIN_FACT;ID_LOT_FACT;ANY_CALENDARI;MES_CALENDARI;ID_CONCEPTES;ID_DECLARADA;DNI_NIF_CLIENT;QL_GESTIO_FACT;QL_TIP_COBRA;NUM_ENTITAT_COBR;NUM_AGENCIA_APAR;NUM_COMPTE_DEPEN;DVER_COMPTE_BANC;TIP_FACTURA;DATA_EMISS_FACT;DATA_INI_FACT;QL_RESUM_COMPTABLE;TIP_QTA_SERV_FACT;ID_CALCUL_DIARI;US_AIGUA_SUBM_FACT;TIP_HABIT_SUBM_FA;NOMB_HABIT_FACT;SIT_SUBM_SERV_FACT;QL_IDIOMA_FACT;PUBLI_OFI_TARI_FA;ID_CARREC_SOCIETAT;QL_MONEDA;TIP_SUBM_SERV;NOM_CLIENT;NUM_INDEX;APROVADA_FACT;QL_TIP_COBRA_INI;QL_ENVIO_FACT;TIP_DOMESTIC;QL_DCL_CAI;TIP_FACT_ENV;EMISSORA;NUM_COMPTE_IBAN;TIP_FACT_SII;TIPUS_FACTURA
AB;2021;1;N;M;9;1;0;0;0;11.55;9.96;N;N;2021-03-09;L01;1;S000000001;2021-03-01;F01;21;03;S;N;00000001A;N;B;2100;1;1;00;OR;2021-03-04;2021-02-02;N;25;N;1;A;1;A;C;BOE2024A;N;E;D;CLIENTE 001;;; ; ; ; ;FP; ;ES76000000000000000000000000000001; ; 
AB;2021;2;N;M;9;1;0;0;0;11.55;9.96;N;N;2021-04-09;L01;1;S000000001;2021-04-01;F01;21;04;S;N;00000001A;N;B;2100;1;1;00;OR;2021-04-04;2021-03-02;N;25;N;1;A;1;A;C;BOE2024A;N;E;D;CLIENTE 001;;; ; ; ; ;FP; ;ES76000000000000000000000000000001; ; 
AB;2021;3;N;M;9;2;0;0;0;13.05;11.77;N;N;2021-05-09;L01;1;S000000001;2021-05-01;F01;21;05;S;N;00000001A;N;B;2100;1;1;00;OR;2021-05-04;2021-04-02;N;25;N;1;A;1;A;C;BOE2024A;N;E;D;CLIENTE 001;;; ; ; ; ;FP; ;ES76000000000000000000000000000001; ; 
AB;2021;4;N;M;9;2;0;0;0;13.05;11.77;N;N;2021-06-09;L01;1;S000000001;2021-06-01;F01;21;06;S;N;00000001A;N;B;2100;1;1;00;OR;2021-06-04;2021-05-02;N;25;N;1;A;1;A;C;BOE2024A;N;E;D;CLIENTE 001;;; ; ; ; ;FP; ;ES76000000000000000000000000000001; ; 
AB;2021;5;N;M;9;3;0;0;0;14.55;13.57;N;N;2021-07-09;L01;1;S000000001;2021-07-01;F01;21;07;S;N;00000001A;N;B;2100;1;1;00;OR;2021-07-04;2021-06-02;N;25;N;1;A;1;A;C;BOE2024A;N;E;D;CLIENTE 001;;; ; ; ; ;FP; ;ES76000000000000000000000000000001; ; 
AB;2021;6;N;M;9;1;0;0;0;11.55;9.96;N;N;2021-08-09;L01;1;S000000001;2021-08-01;F01;21;08;S;N;00000001A;N;B;2100;1;1;00;OR;2021-08-04;2021-07-02;N;25;N;1;A;1;A;C;BOE2024A;N;E;D;CLIENTE 001;;; ; ; ; ;FP; ;ES76000000000000000000000000000001; ; 
AB;2021;7;N;M;9;1;0;0;0;11.55;9.96;N;N;2021-09-09;L01;1;S000000001;2021-09-01;F01;21;09;S;N;00000001A;N;B;2100;1;1;00;OR;2021-09-04;2021-08-02;N;25;N;1;A;1;A;C;BOE2024A;N;E;D;CLIENTE 001;;; ; ; ; ;FP; ;ES76000000000000000000000000000001; ; 
AB;2021;8;N;M;9;0;0;0;0;10.05;8.15;N;N;2021-10-09;L01;1;S000000001;2021-10-01;F01;21;10;S;N;00000001A;N;B;2100;1;1;00;OR;2021-10-04;2021-09-02;N;25;N;1;A;1;A;C;BOE2024A;N;E;D;CLIENTE 001;;; ; ; ; ;FP; ;ES76000000000000000000000000000001; ; 
AB;2021;9;N;M;9;1;0;0;0;11.55;9.96;N;N;2021-11-09;L01;1;S000000001;2021-11-01;F01;21;11;S;N;00000001A;N;B;2100;1;1;00;OR;2021-11-04;2021-10-02;N;25;N;1;A;1;A;C;BOE2024A;N;E;D;CLIENTE 001;;; ; ; ; ;FP; ;ES76000000000000000000000000000001; ; 
AB;2021;10;N;M;9;1;0;0;0;11.55;9.96;N;N;2021-12-09;L01;1;S000000001;2021-12-01;F01;21;12;S;N;00000001A;N;B;2100;1;1;00;OR;2021-12-04;2021-11-02;N;25;N;1;A;1;A;C;BOE2024A;N;E;D;CLIENTE 001;;; ; ; ; ;FP; ;ES76000000000000000000000000000001; ; 
